"ID user ";"Length of proﬁle name";"Length of proﬁle description";"Number of tweets posted";"Age of the user account, in days";"Ratio of number of followings and followers";"Number of following";"Number of followers";"Frequence of tweets posted per day";"hashtags average";"mentions average";"links average";"Likes average per tweet"
"2943323238";"7";"35";"3";"20";"0,0";"694";"663";"3,0";"0,0";"0,0";"0,0";"0,0"
"743931887249461200";"11";"17";"3";"20";"0,0";"234";"224";"3,0";"0,0";"1,0";"0,0";"0,0"
"3244704364";"6";"28";"11";"20";"4,0";"666";"2664";"11,0";"0,0";"2,0";"0,0";"0,0"
"3198367145";"10";"138";"3";"20";"3,0";"329";"1264";"3,0";"0,0";"0,0";"1,0";"0,0"
"1257679357";"9";"3";"1";"20";"2,0";"221";"489";"1,0";"0,0";"1,0";"0,0";"0,0"
"2877880473";"9";"0";"1";"20";"0,0";"43";"18";"1,0";"0,0";"2,0";"0,0";"0,0"
"1098828396";"9";"54";"1";"20";"1,0";"269";"297";"1,0";"0,0";"0,0";"0,0";"0,0"
"1329497130";"12";"42";"3";"20";"1,0";"574";"1042";"3,0";"0,0";"1,0";"1,0";"0,0"
"546298779";"7";"6";"2";"20";"25,0";"200";"5027";"2,0";"0,0";"1,0";"1,0";"0,0"
"857261518701948900";"10";"159";"3";"20";"0,0";"153";"151";"3,0";"0,0";"1,0";"1,0";"0,0"
"788872980604608500";"15";"13";"2";"20";"1,0";"195";"253";"2,0";"0,0";"0,0";"1,0";"0,0"
"812341624084766700";"9";"108";"73";"20";"0,0";"103";"89";"73,0";"0,0";"1,0";"0,0";"0,0"
"2591062380";"14";"162";"7";"20";"2,0";"154";"338";"7,0";"0,0";"0,0";"1,0";"0,0"
"3327235443";"6";"14";"4";"20";"0,0";"138";"121";"4,0";"0,0";"1,0";"1,0";"0,0"
"107976012";"9";"86";"71";"20";"0,0";"564";"528";"71,0";"0,0";"2,0";"0,0";"0,0"
"4860768923";"10";"117";"79";"20";"6,0";"20";"138";"79,0";"0,0";"0,0";"0,0";"0,0"
"610162550";"13";"81";"4";"20";"1,0";"696";"955";"4,0";"0,0";"1,0";"0,0";"0,0"
"324937847";"12";"28";"1";"20";"2,0";"168";"404";"1,0";"0,0";"1,0";"0,0";"0,0"
"15813595";"9";"124";"3";"20";"1,0";"349";"387";"3,0";"0,0";"1,0";"0,0";"0,0"
"222383726";"9";"86";"15";"20";"0,0";"875";"349";"15,0";"0,0";"1,0";"0,0";"0,0"
"3167117289";"8";"36";"3";"20";"2,0";"306";"917";"3,0";"1,0";"1,0";"0,0";"0,0"
"771814905859174400";"14";"87";"81";"20";"0,0";"54";"48";"81,0";"0,0";"0,0";"1,0";"0,0"
"2341812391";"14";"146";"2";"20";"0,0";"286";"111";"2,0";"0,0";"0,0";"0,0";"0,0"
"3086402754";"6";"56";"3";"20";"0,0";"167";"139";"3,0";"0,0";"1,0";"0,0";"0,0"
"2170618463";"10";"157";"2";"20";"2,0";"87";"202";"2,0";"0,0";"1,0";"0,0";"0,0"
"722233423";"13";"0";"2";"20";"0,0";"457";"342";"2,0";"0,0";"1,0";"0,0";"0,0"
"70707057";"14";"47";"74";"20";"12,0";"837";"10047";"74,0";"0,0";"1,0";"1,0";"0,0"
"2218524529";"11";"59";"3";"20";"19,0";"49";"977";"3,0";"0,0";"0,0";"1,0";"0,0"
"1355225995";"10";"103";"77";"20";"1,0";"171";"189";"77,0";"0,0";"1,0";"1,0";"0,0"
"2944076847";"13";"11";"3";"20";"7,0";"159";"1219";"3,0";"0,0";"0,0";"1,0";"0,0"
"1514432785";"12";"90";"1";"20";"2,0";"40";"80";"1,0";"3,0";"1,0";"0,0";"0,0"
"244012508";"14";"125";"5";"20";"0,0";"210";"158";"5,0";"0,0";"2,0";"1,0";"0,0"
"84913746";"8";"139";"3";"20";"4,0";"1639";"7360";"3,0";"6,0";"2,0";"0,0";"0,0"
"2539213881";"7";"0";"3";"20";"1,0";"186";"197";"3,0";"0,0";"0,0";"0,0";"0,0"
"853227689502806000";"8";"85";"3";"20";"0,0";"163";"28";"3,0";"0,0";"1,0";"0,0";"0,0"
"3349705929";"13";"43";"8";"20";"3,0";"158";"491";"8,0";"0,0";"0,0";"1,0";"0,0"
"1504828117";"7";"0";"1";"20";"0,0";"88";"18";"1,0";"0,0";"3,0";"0,0";"0,0"
"135529340";"12";"76";"74";"20";"1,0";"127";"228";"74,0";"0,0";"1,0";"0,0";"0,0"
"2506216972";"14";"54";"7";"20";"0,0";"1395";"329";"7,0";"0,0";"1,0";"0,0";"0,0"
"721305552530313200";"10";"0";"2";"20";"0,0";"26";"22";"2,0";"0,0";"0,0";"1,0";"0,0"
"269454206";"10";"90";"86";"20";"0,0";"2224";"883";"86,0";"0,0";"1,0";"1,0";"0,0"
"2826013440";"11";"72";"1";"20";"1,0";"17577";"32372";"1,0";"0,0";"1,0";"0,0";"0,0"
"2282204018";"13";"16";"7";"20";"0,0";"3197";"1426";"7,0";"0,0";"1,0";"0,0";"0,0"
"352978556";"5";"78";"8";"20";"4,0";"123";"569";"8,0";"0,0";"0,0";"0,0";"0,0"
"41142539";"11";"121";"3";"20";"9,0";"1344";"13337";"3,0";"0,0";"1,0";"0,0";"0,0"
"944190264";"13";"134";"8";"20";"8,0";"374";"3064";"8,0";"0,0";"1,0";"0,0";"0,0"
"820593683825299500";"11";"19";"8";"20";"1,0";"315";"545";"8,0";"0,0";"0,0";"0,0";"0,0"
"2996105495";"8";"159";"1";"20";"0,0";"477";"134";"1,0";"0,0";"1,0";"0,0";"0,0"
"194234391";"9";"95";"1";"20";"0,0";"357";"198";"1,0";"0,0";"1,0";"0,0";"0,0"
"2830076713";"9";"95";"1";"20";"1,0";"202";"309";"1,0";"0,0";"2,0";"1,0";"0,0"
"580079893";"14";"59";"3";"20";"8,0";"207";"1764";"3,0";"0,0";"1,0";"0,0";"0,0"
"795621153167540200";"10";"112";"7";"20";"0,0";"65";"28";"7,0";"1,0";"1,0";"0,0";"0,0"
"1314254299";"15";"6";"81";"20";"2,0";"114";"249";"81,0";"0,0";"1,0";"0,0";"0,0"
"700023170808602600";"7";"139";"1";"20";"11641,0";"2";"23282";"1,0";"0,0";"1,0";"0,0";"0,0"
"1019758430";"13";"0";"3";"20";"0,0";"819";"521";"3,0";"0,0";"1,0";"0,0";"0,0"
"3244831487";"15";"79";"3";"20";"15,0";"92";"1437";"3,0";"0,0";"1,0";"1,0";"0,0"
"870317905346523100";"12";"161";"2";"20";"0,0";"20";"15";"2,0";"0,0";"0,0";"1,0";"0,0"
"1556395867";"13";"34";"1";"20";"3,0";"517";"1554";"1,0";"0,0";"0,0";"1,0";"0,0"
"788385134609371100";"10";"28";"7";"20";"1,0";"57";"60";"7,0";"0,0";"1,0";"0,0";"0,0"
"3434364688";"12";"73";"4";"20";"0,0";"231";"197";"4,0";"0,0";"2,0";"0,0";"0,0"
"4573082422";"9";"31";"1";"20";"21,0";"497";"10507";"1,0";"0,0";"1,0";"0,0";"0,0"
"616433435";"9";"97";"1";"20";"0,0";"196";"158";"1,0";"0,0";"0,0";"0,0";"0,0"
"2209411099";"9";"27";"81";"20";"4,0";"533";"2392";"81,0";"0,0";"1,0";"1,0";"0,0"
"2965521257";"12";"29";"6";"20";"20,0";"526";"10687";"6,0";"0,0";"0,0";"0,0";"0,0"
"2953257897";"5";"102";"1";"20";"3,0";"106";"342";"1,0";"0,0";"1,0";"0,0";"0,0"
"1114610143";"9";"0";"73";"20";"6,0";"48";"334";"73,0";"0,0";"6,0";"0,0";"0,0"
"520760506";"8";"127";"3";"20";"2,0";"435";"876";"3,0";"0,0";"1,0";"0,0";"0,0"
"831556471657738200";"7";"51";"2";"20";"1,0";"339";"414";"2,0";"0,0";"1,0";"0,0";"0,0"
"865994641530859500";"9";"0";"12";"20";"0,0";"45";"33";"12,0";"0,0";"1,0";"0,0";"0,0"
"2441966132";"15";"45";"74";"20";"1,0";"204";"282";"74,0";"0,0";"1,0";"1,0";"0,0"
"496178728";"6";"38";"6";"20";"1,0";"337";"499";"6,0";"0,0";"0,0";"0,0";"0,0"
"57299114";"13";"75";"3";"20";"2,0";"589";"1477";"3,0";"0,0";"1,0";"0,0";"0,0"
"2864353659";"12";"131";"2";"20";"1,0";"371";"437";"2,0";"0,0";"0,0";"0,0";"0,0"
"350603043";"12";"131";"3";"20";"1,0";"714";"1004";"3,0";"0,0";"1,0";"0,0";"0,0"
"3209393284";"11";"88";"7";"20";"3,0";"97";"313";"7,0";"0,0";"1,0";"0,0";"1,0"
"2932622620";"9";"0";"3";"20";"0,0";"98";"26";"3,0";"0,0";"0,0";"1,0";"0,0"
"477542308";"9";"160";"11";"20";"1,0";"2086";"3999";"11,0";"0,0";"1,0";"0,0";"0,0"
"2753511371";"11";"17";"1";"20";"0,0";"555";"356";"1,0";"0,0";"0,0";"1,0";"0,0"
"303669711";"12";"117";"8";"20";"3,0";"106";"329";"8,0";"0,0";"1,0";"1,0";"0,0"
"70158329";"7";"79";"1";"20";"1,0";"995";"1362";"1,0";"0,0";"2,0";"0,0";"0,0"
"4624949363";"10";"1";"7";"20";"0,0";"904";"510";"7,0";"0,0";"1,0";"0,0";"0,0"
"2853255665";"15";"146";"1";"20";"3,0";"281";"1020";"1,0";"2,0";"0,0";"1,0";"0,0"
"322846938";"14";"60";"3";"20";"0,0";"226";"97";"3,0";"0,0";"1,0";"0,0";"0,0"
"3081942100";"8";"110";"4";"20";"10,0";"265";"2736";"4,0";"0,0";"8,0";"1,0";"0,0"
"2387811772";"10";"29";"7";"20";"1,0";"381";"698";"7,0";"0,0";"1,0";"0,0";"0,0"
"3388123654";"5";"2";"5";"20";"0,0";"219";"143";"5,0";"0,0";"1,0";"0,0";"0,0"
"715161814829498400";"14";"91";"1";"20";"5,0";"295";"1504";"1,0";"0,0";"0,0";"1,0";"0,0"
"716992429698773000";"15";"153";"3";"20";"0,0";"4826";"1752";"3,0";"1,0";"0,0";"0,0";"0,0"
"826482087549136900";"10";"30";"3";"20";"0,0";"68";"47";"3,0";"0,0";"0,0";"0,0";"0,0"
"3253153253";"8";"20";"1";"20";"1,0";"326";"516";"1,0";"0,0";"1,0";"0,0";"0,0"
"4484005702";"8";"87";"15";"20";"5,0";"43";"227";"15,0";"0,0";"1,0";"0,0";"0,0"
