"ID user ";"Length of proﬁle name";"Length of proﬁle description";"Number of tweets posted";"Age of the user account, in days";"Ratio of number of followings and followers";"Number of following";"Number of followers";"Frequence of tweets posted per day";"hashtags average";"mentions average";"links average";"Likes average per tweet"
"2181925778";"10";"160";"0";"20";"0,0";"708";"619";"NaN";"0,0";"0,0";"0,0";"0,0"
"830551945727324200";"8";"132";"0";"20";"0,0";"533";"154";"NaN";"0,0";"0,0";"0,0";"0,0"
"2193228569";"11";"113";"0";"20";"7,0";"185";"1295";"NaN";"0,0";"0,0";"0,0";"0,0"
"1589073684";"6";"0";"0";"20";"0,0";"113";"4";"NaN";"0,0";"0,0";"0,0";"0,0"
"589292220";"6";"158";"0";"20";"0,0";"1694";"1461";"NaN";"0,0";"0,0";"0,0";"0,0"
"91354325";"8";"160";"0";"20";"2,0";"1227";"3279";"NaN";"0,0";"0,0";"0,0";"0,0"
"528664100";"9";"64";"0";"20";"1,0";"125";"154";"NaN";"0,0";"0,0";"0,0";"0,0"
"1546034574";"12";"20";"0";"20";"3,0";"298";"924";"NaN";"0,0";"0,0";"0,0";"0,0"
"782679091648471000";"12";"18";"0";"20";"4,0";"288";"1193";"NaN";"0,0";"0,0";"0,0";"0,0"
"2938277523";"8";"93";"0";"20";"2,0";"495";"1185";"NaN";"0,0";"0,0";"0,0";"0,0"
"254068375";"5";"0";"0";"20";"0,0";"298";"72";"NaN";"0,0";"0,0";"0,0";"0,0"
"3180534827";"6";"0";"0";"20";"52,0";"40";"2112";"NaN";"0,0";"0,0";"0,0";"0,0"
"789084298120982500";"11";"16";"0";"20";"1,0";"60";"102";"NaN";"0,0";"0,0";"0,0";"0,0"
"37757950";"8";"81";"0";"20";"1,0";"195";"221";"NaN";"0,0";"0,0";"0,0";"0,0"
"38392822";"7";"98";"0";"20";"0,0";"3077";"2255";"NaN";"0,0";"0,0";"0,0";"0,0"
"4634600955";"11";"10";"0";"20";"1,0";"394";"519";"NaN";"0,0";"0,0";"0,0";"0,0"
"741932019614142500";"14";"153";"0";"20";"2,0";"92";"198";"NaN";"0,0";"0,0";"0,0";"0,0"
"798216229953617900";"13";"0";"0";"20";"0,0";"85";"56";"NaN";"0,0";"0,0";"0,0";"0,0"
"2335634174";"8";"0";"0";"20";"0,0";"990";"617";"NaN";"0,0";"0,0";"0,0";"0,0"
"3602112377";"7";"117";"0";"20";"1,0";"470";"599";"NaN";"0,0";"0,0";"0,0";"0,0"
"2993869756";"12";"141";"0";"20";"1,0";"9101";"17731";"NaN";"0,0";"0,0";"0,0";"0,0"
"4756300462";"7";"22";"0";"20";"1,0";"206";"317";"NaN";"0,0";"0,0";"0,0";"0,0"
"2976252087";"8";"44";"0";"20";"2,0";"267";"611";"NaN";"0,0";"0,0";"0,0";"0,0"
"480730486";"11";"95";"0";"20";"2,0";"420";"1154";"NaN";"0,0";"0,0";"0,0";"0,0"
"451685177";"7";"40";"0";"20";"2,0";"286";"737";"NaN";"0,0";"0,0";"0,0";"0,0"
"227343441";"7";"155";"0";"20";"0,0";"4415";"2608";"NaN";"0,0";"0,0";"0,0";"0,0"
"820582536787230700";"8";"124";"0";"20";"0,0";"1415";"871";"NaN";"0,0";"0,0";"0,0";"0,0"
"498711640";"8";"37";"0";"20";"6,0";"271";"1791";"NaN";"0,0";"0,0";"0,0";"0,0"
"43950975";"8";"136";"0";"20";"0,0";"703";"271";"NaN";"0,0";"0,0";"0,0";"0,0"
"875436026889719800";"15";"160";"0";"20";"0,0";"43";"6";"NaN";"0,0";"0,0";"0,0";"0,0"
"1652532122";"15";"159";"0";"20";"0,0";"686";"317";"NaN";"0,0";"0,0";"0,0";"0,0"
"736903836330266600";"9";"3";"0";"20";"1,0";"116";"175";"NaN";"0,0";"0,0";"0,0";"0,0"
"2896399684";"10";"9";"0";"20";"3,0";"199";"618";"NaN";"0,0";"0,0";"0,0";"0,0"
"29610030";"5";"49";"0";"20";"2,0";"996";"2955";"NaN";"0,0";"0,0";"0,0";"0,0"
"2636647622";"10";"0";"0";"20";"6,0";"49";"309";"NaN";"0,0";"0,0";"0,0";"0,0"
"858663413244993500";"15";"39";"0";"20";"0,0";"143";"54";"NaN";"0,0";"0,0";"0,0";"0,0"
"82580760";"11";"40";"0";"20";"1,0";"705";"1359";"NaN";"0,0";"0,0";"0,0";"0,0"
"964298892";"9";"135";"0";"20";"2,0";"376";"917";"NaN";"0,0";"0,0";"0,0";"0,0"
"1050457957";"14";"0";"0";"20";"0,0";"284";"233";"NaN";"0,0";"0,0";"0,0";"0,0"
"447564624";"8";"25";"0";"20";"0,0";"492";"288";"NaN";"0,0";"0,0";"0,0";"0,0"
"4483891900";"11";"128";"0";"20";"3,0";"109";"335";"NaN";"0,0";"0,0";"0,0";"0,0"
"2579700675";"13";"103";"0";"20";"1,0";"207";"215";"NaN";"0,0";"0,0";"0,0";"0,0"
"727545813090615300";"6";"42";"0";"20";"1,0";"233";"251";"NaN";"0,0";"0,0";"0,0";"0,0"
"744137699137851400";"7";"0";"0";"20";"0,0";"978";"70";"NaN";"0,0";"0,0";"0,0";"0,0"
"114259143";"9";"151";"0";"20";"1,0";"764";"831";"NaN";"0,0";"0,0";"0,0";"0,0"
"3053782026";"9";"46";"0";"20";"2,0";"203";"464";"NaN";"0,0";"0,0";"0,0";"0,0"
"754810604";"7";"35";"0";"20";"0,0";"0";"1468";"NaN";"0,0";"0,0";"0,0";"0,0"
"856161401727045600";"8";"0";"0";"20";"0,0";"251";"168";"NaN";"0,0";"0,0";"0,0";"0,0"
"834840087787610100";"12";"48";"0";"20";"3,0";"81";"275";"NaN";"0,0";"0,0";"0,0";"0,0"
"784329896";"14";"98";"0";"20";"4,0";"173";"755";"NaN";"0,0";"0,0";"0,0";"0,0"
"958772029";"11";"0";"0";"20";"1,0";"155";"182";"NaN";"0,0";"0,0";"0,0";"0,0"
"3331347592";"12";"14";"0";"20";"1,0";"191";"192";"NaN";"0,0";"0,0";"0,0";"0,0"
"574187555";"7";"40";"0";"20";"0,0";"103";"44";"NaN";"0,0";"0,0";"0,0";"0,0"
"3363103343";"13";"55";"0";"20";"1,0";"263";"420";"NaN";"0,0";"0,0";"0,0";"0,0"
"578240605";"13";"38";"0";"20";"0,0";"247";"160";"NaN";"0,0";"0,0";"0,0";"0,0"
"1588735106";"15";"123";"0";"20";"1,0";"384";"489";"NaN";"0,0";"0,0";"0,0";"0,0"
"627769177";"10";"8";"0";"20";"1,0";"99";"141";"NaN";"0,0";"0,0";"0,0";"0,0"
"561083213";"14";"67";"0";"20";"1,0";"439";"685";"NaN";"0,0";"0,0";"0,0";"0,0"
"3346875712";"10";"4";"0";"20";"1,0";"378";"494";"NaN";"0,0";"0,0";"0,0";"0,0"
"4846936793";"14";"158";"0";"20";"0,0";"167";"116";"NaN";"0,0";"0,0";"0,0";"0,0"
"3127840814";"12";"17";"0";"20";"1,0";"791";"896";"NaN";"0,0";"0,0";"0,0";"0,0"
